순위,상품번호,구분,도서명,저자,출판사,출간일,할인율,판매가,정가,포인트,판매지수,평점,배송정보,출간연도,출간월,평점_수치,종이책_리뷰_수,eBook_리뷰_수,종이책_한줄평_수,eBook_한줄평_수,총_리뷰_수
836,150718294,도서,해커스 JLPT N2(일본어능력시험) 한권합격,해커스 JLPT 연구소 저,해커스어학연구소,2025년 08월,10,24300,27000.0,1350,25296,리뷰 총점10.0 정보 더 보기/감추기 종이책 리뷰 (6건) eBook 리뷰 (1건) 종이책 한줄평 (6건) eBook 한줄평 (1건),,2025,8,10.0,6.0,1.0,6.0,1.0,14.0
837,149370012,도서,여기는 파워섬 에너지를 배웁니다,서해경 글/김현영 그림,천개의바람,2025년 07월,10,11700,13000.0,650,1539,리뷰 총점9.4 정보 더 보기/감추기 종이책 리뷰 (7건) eBook 리뷰 (0건) 종이책 한줄평 (0건) eBook 한줄평 (0건),,2025,7,9.4,7.0,0.0,0.0,0.0,7.0
838,149107353,도서,가공범,히가시노 게이고 저/김선영 역,북다,2025년 07월,10,19800,22000.0,1100,138540,리뷰 총점9.4 정보 더 보기/감추기 종이책 리뷰 (138건) eBook 리뷰 (10건) 종이책 한줄평 (131건) eBook 한줄평 (116건),,2025,7,9.4,138.0,10.0,131.0,116.0,395.0
839,148749520,도서,강하고 아름다운 할머니가 되고 싶어,김슬기 저,클레이하우스,2025년 07월,10,16200,18000.0,900,12450,리뷰 총점9.6 정보 더 보기/감추기 종이책 리뷰 (27건) eBook 리뷰 (1건) 종이책 한줄평 (9건) eBook 한줄평 (21건),,2025,7,9.6,27.0,1.0,9.0,21.0,58.0
840,148420246,도서,"소크라테스, 법정에서 진리를 말하다",김철홍 글/다나 그림,천개의바람,2025년 07월,10,11700,13000.0,650,2565,리뷰 총점9.7 정보 더 보기/감추기 종이책 리뷰 (11건) eBook 리뷰 (0건) 종이책 한줄평 (0건) eBook 한줄평 (1건),,2025,7,9.7,11.0,0.0,0.0,1.0,12.0
841,148025118,도서,여름은 고작 계절 (1주년 기념 에디션),김서해 저,위즈덤하우스,2026년 06월,10,15750,17500.0,870,50577,리뷰 총점9.2 정보 더 보기/감추기 종이책 리뷰 (75건) eBook 리뷰 (6건) 종이책 한줄평 (39건) eBook 한줄평 (30건),,2026,6,9.2,75.0,6.0,39.0,30.0,150.0
842,147746130,도서,MVP Vol. 2,김영 편입 컨텐츠평가연구소 편저,김앤북,2025년 06월,10,22500,25000.0,1250,9288,리뷰 총점10.0 정보 더 보기/감추기 종이책 리뷰 (0건) eBook 리뷰 (0건) 종이책 한줄평 (2건) eBook 한줄평 (0건),,2025,6,10.0,0.0,0.0,2.0,0.0,2.0
843,147311959,도서,마침내 특이점이 시작된다,레이 커즈와일 저/이충호 역/장대익 감수,비즈니스북스,2025년 06월,10,27000,30000.0,1500,61395,리뷰 총점9.5 정보 더 보기/감추기 종이책 리뷰 (46건) eBook 리뷰 (1건) 종이책 한줄평 (86건) eBook 한줄평 (7건),,2025,6,9.5,46.0,1.0,86.0,7.0,140.0
844,147045567,도서,요즘 10대를 위한 최소한의 전쟁사,김봉중 저,빅피시,2025년 06월,10,15120,16800.0,840,9924,리뷰 총점9.7 정보 더 보기/감추기 종이책 리뷰 (3건) eBook 리뷰 (0건) 종이책 한줄평 (4건) eBook 한줄평 (0건),,2025,6,9.7,3.0,0.0,4.0,0.0,7.0
845,145426898,도서,요즘 교사를 위한 AI 수업 활용 가이드 with 2022 개정 교육과정,"박진환, 공지훈, 서원진 저",한빛미디어,2025년 05월,10,18000,20000.0,1000,86376,리뷰 총점9.8 정보 더 보기/감추기 종이책 리뷰 (50건) eBook 리뷰 (1건) 종이책 한줄평 (12건) eBook 한줄평 (2건),,2025,5,9.8,50.0,1.0,12.0,2.0,65.0
846,143896198,도서,흰,한강 저,문학동네,2025년 03월,10,13050,14500.0,720,25443,리뷰 총점9.2 정보 더 보기/감추기 종이책 리뷰 (34건) eBook 리뷰 (2건) 종이책 한줄평 (31건) eBook 한줄평 (4건),,2025,3,9.2,34.0,2.0,31.0,4.0,71.0
847,141690794,도서,일본어 명카피 핸드북,정규영 편저/오가타 요시히로 감수,길벗이지톡,2025년 01월,10,16200,18000.0,900,16101,리뷰 총점9.6 정보 더 보기/감추기 종이책 리뷰 (38건) eBook 리뷰 (3건) 종이책 한줄평 (26건) eBook 한줄평 (2건),,2025,1,9.6,38.0,3.0,26.0,2.0,69.0
848,141128471,도서,만만이 교사의 쎈 척하는 법,김참외 저,아이스크림북스,2025년 02월,10,15750,17500.0,870,36669,리뷰 총점9.5 정보 더 보기/감추기 종이책 리뷰 (12건) eBook 리뷰 (0건) 종이책 한줄평 (25건) eBook 한줄평 (1건),,2025,2,9.5,12.0,0.0,25.0,1.0,38.0
849,135966968,도서,가난한 찰리의 연감,찰리 멍거 저/김태훈 역/피터 코프먼 기획,김영사,2024년 11월,10,29700,33000.0,1650,28083,리뷰 총점9.0 정보 더 보기/감추기 종이책 리뷰 (84건) eBook 리뷰 (13건) 종이책 한줄평 (94건) eBook 한줄평 (18건),,2024,11,9.0,84.0,13.0,94.0,18.0,209.0
850,129602366,도서,불안 세대,조너선 하이트 저/이충호 역,웅진지식하우스,2024년 07월,10,22320,24800.0,1240,40521,리뷰 총점9.7 정보 더 보기/감추기 종이책 리뷰 (108건) eBook 리뷰 (14건) 종이책 한줄평 (106건) eBook 한줄평 (28건),,2024,7,9.7,108.0,14.0,106.0,28.0,256.0
851,128589778,도서,해커스공무원 영문법 합격생 필기노트,해커스 공무원시험연구소 편저,해커스공무원,2025년 09월,10,10710,11900.0,110,16110,리뷰 총점9.6 정보 더 보기/감추기 종이책 리뷰 (30건) eBook 리뷰 (2건) 종이책 한줄평 (27건) eBook 한줄평 (2건),,2025,9,9.6,30.0,2.0,27.0,2.0,61.0
852,126566083,도서,나는 개다,백희나 글그림,스토리보울,2024년 05월,10,13500,15000.0,750,10758,리뷰 총점9.5 정보 더 보기/감추기 종이책 리뷰 (6건) eBook 리뷰 (0건) 종이책 한줄평 (10건) eBook 한줄평 (0건),,2024,5,9.5,6.0,0.0,10.0,0.0,16.0
853,126111057,도서,히든 픽처스,제이슨 르쿨락 저/유소영 역,문학수첩,2024년 05월,10,12600,14000.0,700,33816,리뷰 총점9.5 정보 더 보기/감추기 종이책 리뷰 (68건) eBook 리뷰 (0건) 종이책 한줄평 (73건) eBook 한줄평 (0건),,2024,5,9.5,68.0,0.0,73.0,0.0,141.0
854,125829847,도서,토마토 컵라면,차정은 저,BOOKK(부크크),2024년 04월,10,8100,9000.0,450,39750,리뷰 총점9.3 정보 더 보기/감추기 종이책 리뷰 (38건) eBook 리뷰 (0건) 종이책 한줄평 (67건) eBook 한줄평 (8건),,2024,4,9.3,38.0,0.0,67.0,8.0,113.0
855,125558276,도서,알사탕 제조법,백희나 글그림,스토리보울,2024년 03월,10,9000,10000.0,500,14424,리뷰 총점8.1 정보 더 보기/감추기 종이책 리뷰 (72건) eBook 리뷰 (0건) 종이책 한줄평 (98건) eBook 한줄평 (0건),,2024,3,8.1,72.0,0.0,98.0,0.0,170.0
856,125313386,도서,1학년 한글 떼기,하유정 글/김희선 그림,한빛에듀,2024년 03월,10,12600,14000.0,700,51936,리뷰 총점9.9 정보 더 보기/감추기 종이책 리뷰 (80건) eBook 리뷰 (0건) 종이책 한줄평 (51건) eBook 한줄평 (0건),,2024,3,9.9,80.0,0.0,51.0,0.0,131.0
857,124897274,도서,흰 바람벽이 있어,강영준 저,북멘토,2024년 02월,10,16200,18000.0,900,840,리뷰 총점9.9 정보 더 보기/감추기 종이책 리뷰 (30건) eBook 리뷰 (0건) 종이책 한줄평 (0건) eBook 한줄평 (0건),,2024,2,9.9,30.0,0.0,0.0,0.0,30.0
858,123400303,도서,이처럼 사소한 것들,클레어 키건 저/홍한별 역,다산책방,2023년 11월,10,12420,13800.0,690,77826,리뷰 총점9.4 정보 더 보기/감추기 종이책 리뷰 (398건) eBook 리뷰 (37건) 종이책 한줄평 (399건) eBook 한줄평 (65건),,2023,11,9.4,398.0,37.0,399.0,65.0,899.0
859,122541567,도서,안아 줄게,"김복태, 김상아 글그림",보림,2023년 09월,10,11700,13000.0,650,7980,리뷰 총점10.0 정보 더 보기/감추기 종이책 리뷰 (7건) eBook 리뷰 (0건) 종이책 한줄평 (0건) eBook 한줄평 (0건),,2023,9,10.0,7.0,0.0,0.0,0.0,7.0
860,122532297,도서,"돈, 뜨겁게 사랑하고 차갑게 다루어라",앙드레 코스톨라니 저/한윤진 역,미래의창,2023년 09월,10,13500,15000.0,750,41127,리뷰 총점9.4 정보 더 보기/감추기 종이책 리뷰 (54건) eBook 리뷰 (10건) 종이책 한줄평 (51건) eBook 한줄평 (23건),,2023,9,9.4,54.0,10.0,51.0,23.0,138.0
861,122428190,도서,생각이 너무 많은 어른들을 위한 심리학,김혜남 저,메이븐,2023년 09월,10,16020,17800.0,890,29532,리뷰 총점9.6 정보 더 보기/감추기 종이책 리뷰 (106건) eBook 리뷰 (25건) 종이책 한줄평 (118건) eBook 한줄평 (98건),,2023,9,9.6,106.0,25.0,118.0,98.0,347.0
862,120785860,도서,좋은 일이 오려고 그러나 보다 (리커버판),박여름 저,히읏,2023년 07월,10,15120,16800.0,840,23541,리뷰 총점9.3 정보 더 보기/감추기 종이책 리뷰 (44건) eBook 리뷰 (1건) 종이책 한줄평 (49건) eBook 한줄평 (13건),,2023,7,9.3,44.0,1.0,49.0,13.0,107.0
863,120163724,도서,위기의 역사,오건영 저/안병현 그림,페이지2북스,2023년 07월,10,25200,28000.0,1400,11004,리뷰 총점9.7 정보 더 보기/감추기 종이책 리뷰 (119건) eBook 리뷰 (8건) 종이책 한줄평 (99건) eBook 한줄평 (18건),,2023,7,9.7,119.0,8.0,99.0,18.0,244.0
864,119293186,도서,Do it! 점프 투 파이썬,박응용 저,이지스퍼블리싱,2023년 06월,10,19800,22000.0,1100,42837,리뷰 총점9.7 정보 더 보기/감추기 종이책 리뷰 (68건) eBook 리뷰 (2건) 종이책 한줄평 (73건) eBook 한줄평 (5건),,2023,6,9.7,68.0,2.0,73.0,5.0,148.0
865,118483018,도서,설득의 심리학 1,"로버트 치알디니 저/황혜숙, 임상훈 역",21세기북스,2023년 04월,10,28800,32000.0,1600,33354,리뷰 총점9.6 정보 더 보기/감추기 종이책 리뷰 (46건) eBook 리뷰 (3건) 종이책 한줄평 (55건) eBook 한줄평 (10건),,2023,4,9.6,46.0,3.0,55.0,10.0,114.0
866,118380549,도서,조선미의 현실 육아 상담소,조선미 저,북하우스,2023년 04월,10,15750,17500.0,870,12195,리뷰 총점9.9 정보 더 보기/감추기 종이책 리뷰 (89건) eBook 리뷰 (0건) 종이책 한줄평 (38건) eBook 한줄평 (12건),,2023,4,9.9,89.0,0.0,38.0,12.0,139.0
867,117873525,도서,두고 온 여름,성해나 저,창비,2023년 03월,10,12600,14000.0,700,42957,리뷰 총점9.5 정보 더 보기/감추기 종이책 리뷰 (72건) eBook 리뷰 (0건) 종이책 한줄평 (67건) eBook 한줄평 (1건),,2023,3,9.5,72.0,0.0,67.0,1.0,140.0
868,117671556,도서,멈출 수 없는 우리 1,유발 하라리 글/리카르드 사플라나 루이스 그림/김명주 역,주니어김영사,2023년 02월,10,13320,14800.0,740,14697,리뷰 총점9.8 정보 더 보기/감추기 종이책 리뷰 (34건) eBook 리뷰 (0건) 종이책 한줄평 (31건) eBook 한줄평 (0건),,2023,2,9.8,34.0,0.0,31.0,0.0,65.0
869,117516779,도서,ETS 토익 단기공략 Part 5 6,ETS 저,YBM(와이비엠),2023년 02월,10,13500,15000.0,750,14442,리뷰 총점9.6 정보 더 보기/감추기 종이책 리뷰 (24건) eBook 리뷰 (0건) 종이책 한줄평 (27건) eBook 한줄평 (0건),,2023,2,9.6,24.0,0.0,27.0,0.0,51.0
870,117117488,도서,일본어 문법 무작정 따라하기,후지이 아사리 저,길벗이지톡,2023년 02월,10,23400,26000.0,1300,38937,리뷰 총점9.6 정보 더 보기/감추기 종이책 리뷰 (75건) eBook 리뷰 (10건) 종이책 한줄평 (92건) eBook 한줄평 (23건),,2023,2,9.6,75.0,10.0,92.0,23.0,200.0
871,117117486,도서,일본어 상용한자 무작정 따라하기 1,권경배 저,길벗이지톡,2023년 01월,10,23400,26000.0,1300,26421,리뷰 총점9.5 정보 더 보기/감추기 종이책 리뷰 (54건) eBook 리뷰 (9건) 종이책 한줄평 (91건) eBook 한줄평 (9건),,2023,1,9.5,54.0,9.0,91.0,9.0,163.0
872,113444667,도서,0~5세 성장 발달에 맞추는 놀이 육아,"김원철, 강윤경, 김연목, 이지영 저/전선진 그림",마음책방,2022년 10월,10,19980,22200.0,1110,9642,리뷰 총점10.0 정보 더 보기/감추기 종이책 리뷰 (47건) eBook 리뷰 (0건) 종이책 한줄평 (23건) eBook 한줄평 (0건),,2022,10,10.0,47.0,0.0,23.0,0.0,70.0
873,113444329,도서,이해찬 회고록,이해찬 저,돌베개,2022년 09월,10,20700,23000.0,1150,178422,리뷰 총점8.3 정보 더 보기/감추기 종이책 리뷰 (45건) eBook 리뷰 (0건) 종이책 한줄평 (148건) eBook 한줄평 (0건),,2022,9,8.3,45.0,0.0,148.0,0.0,193.0
874,110253907,도서,거의 모든 행동 표현의 일본어,"서영조, TJL 콘텐츠 연구소 저/고가 사토시 감수",사람in,2022년 07월,10,18000,20000.0,1000,8094,리뷰 총점9.6 정보 더 보기/감추기 종이책 리뷰 (36건) eBook 리뷰 (5건) 종이책 한줄평 (45건) eBook 한줄평 (9건),,2022,7,9.6,36.0,5.0,45.0,9.0,95.0
875,109736038,도서,10일 만에 끝내는 해커스 토익스피킹(토스),해커스 어학연구소 저,해커스어학연구소,2025년 12월,10,17010,18900.0,940,15930,리뷰 총점9.6 정보 더 보기/감추기 종이책 리뷰 (57건) eBook 리뷰 (3건) 종이책 한줄평 (33건) eBook 한줄평 (6건),,2025,12,9.6,57.0,3.0,33.0,6.0,99.0
876,109323356,도서,뭐가 다를까? 다른그림찾기 1000,레이크 프레스 기획,길벗스쿨,2022년 05월,10,7920,8800.0,440,38187,리뷰 총점9.8 정보 더 보기/감추기 종이책 리뷰 (92건) eBook 리뷰 (0건) 종이책 한줄평 (79건) eBook 한줄평 (0건),,2022,5,9.8,92.0,0.0,79.0,0.0,171.0
877,108422348,도서,채식주의자,한강 저,창비,2022년 03월,10,15300,17000.0,850,120447,"리뷰 총점9.2 정보 더 보기/감추기 종이책 리뷰 (1,092건) eBook 리뷰 (0건) 종이책 한줄평 (687건) eBook 한줄평 (1건)",,2022,3,9.2,1092.0,0.0,687.0,1.0,1780.0
878,106711883,도서,진짜 쓰는 실무 엑셀,전진권 저,제이펍,2022년 02월,10,18900,21000.0,1050,69354,리뷰 총점9.8 정보 더 보기/감추기 종이책 리뷰 (133건) eBook 리뷰 (9건) 종이책 한줄평 (237건) eBook 한줄평 (9건),,2022,2,9.8,133.0,9.0,237.0,9.0,388.0
879,105877309,도서,하루 한장 초등 영어 파닉스+발음기호,이문필 저,키즈프렌즈,2022년 01월,10,12600,14000.0,700,55638,리뷰 총점9.7 정보 더 보기/감추기 종이책 리뷰 (119건) eBook 리뷰 (0건) 종이책 한줄평 (133건) eBook 한줄평 (0건),,2022,1,9.7,119.0,0.0,133.0,0.0,252.0
880,105360118,도서,속뜻풀이 초등국어사전,전광진 편저,속뜻사전교육출판사,2026년 01월,10,49500,55000.0,2750,30834,리뷰 총점9.8 정보 더 보기/감추기 종이책 리뷰 (253건) eBook 리뷰 (0건) 종이책 한줄평 (154건) eBook 한줄평 (0건),,2026,1,9.8,253.0,0.0,154.0,0.0,407.0
881,103982268,도서,한국단편소설 50,"성낙수, 박찬영, 김형주 편/김동인 등저",리베르스쿨,2021년 10월,10,16920,18800.0,940,72951,리뷰 총점9.7 정보 더 보기/감추기 종이책 리뷰 (48건) eBook 리뷰 (0건) 종이책 한줄평 (69건) eBook 한줄평 (0건),,2021,10,9.7,48.0,0.0,69.0,0.0,117.0
882,103152482,만화,주술회전 16 일반판,아쿠타미 게게 글그림/이정운 역,서울미디어코믹스(서울문화사),2021년 08월,10,5400,6000.0,300,17256,리뷰 총점9.8 정보 더 보기/감추기 종이책 리뷰 (63건) eBook 리뷰 (99건) 종이책 한줄평 (175건) eBook 한줄평 (188건),,2021,8,9.8,63.0,99.0,175.0,188.0,525.0
883,97276748,만화,주술회전 12 일반판,아쿠타미 게게 글그림/이정운 역,서울미디어코믹스(서울문화사),2021년 02월,10,5400,6000.0,300,15942,리뷰 총점9.7 정보 더 보기/감추기 종이책 리뷰 (62건) eBook 리뷰 (99건) 종이책 한줄평 (135건) eBook 한줄평 (201건),,2021,2,9.7,62.0,99.0,135.0,201.0,497.0
884,96002061,만화,주술회전 10 일반판,아쿠타미 게게 글그림/이정운 역,서울미디어코믹스(서울문화사),2020년 12월,10,5400,6000.0,300,19320,리뷰 총점9.8 정보 더 보기/감추기 종이책 리뷰 (83건) eBook 리뷰 (126건) 종이책 한줄평 (202건) eBook 한줄평 (226건),,2020,12,9.8,83.0,126.0,202.0,226.0,637.0
885,95521473,도서,동사 중심 네이티브 영어표현력 사전,이창수 저,다락원,2020년 11월,10,18000,20000.0,1000,16824,리뷰 총점9.7 정보 더 보기/감추기 종이책 리뷰 (41건) eBook 리뷰 (9건) 종이책 한줄평 (35건) eBook 한줄평 (14건),,2020,11,9.7,41.0,9.0,35.0,14.0,99.0
886,90328809,도서,스피킹 매트릭스 2분 영어 말하기,김태윤 저,길벗이지톡,2020년 05월,10,10800,12000.0,600,3966,리뷰 총점9.8 정보 더 보기/감추기 종이책 리뷰 (25건) eBook 리뷰 (4건) 종이책 한줄평 (36건) eBook 한줄평 (8건),,2020,5,9.8,25.0,4.0,36.0,8.0,73.0
887,89487182,도서,이상한 수학책,벤 올린 저/김성훈 역,북라이프,2020년 03월,10,21600,24000.0,1200,12159,리뷰 총점9.5 정보 더 보기/감추기 종이책 리뷰 (38건) eBook 리뷰 (2건) 종이책 한줄평 (50건) eBook 한줄평 (3건),,2020,3,9.5,38.0,2.0,50.0,3.0,93.0
888,89182437,도서,소유냐 존재냐,에리히 프롬 저/차경아 역,까치(까치글방),2020년 02월,10,13500,15000.0,750,51183,리뷰 총점9.7 정보 더 보기/감추기 종이책 리뷰 (71건) eBook 리뷰 (0건) 종이책 한줄평 (95건) eBook 한줄평 (0건),,2020,2,9.7,71.0,0.0,95.0,0.0,166.0
889,86429868,도서,더 위험한 과학책,랜들 먼로 저/이강환 역,시공사,2020년 01월,10,22500,25000.0,1250,9606,리뷰 총점9.5 정보 더 보기/감추기 종이책 리뷰 (59건) eBook 리뷰 (3건) 종이책 한줄평 (94건) eBook 한줄평 (5건),,2020,1,9.5,59.0,3.0,94.0,5.0,161.0
890,85028097,도서,해커스 토익 스타트 RC Reading (리딩),David Cho 저,해커스어학연구소,2025년 04월,10,13410,14900.0,740,41292,리뷰 총점9.8 정보 더 보기/감추기 종이책 리뷰 (60건) eBook 리뷰 (2건) 종이책 한줄평 (83건) eBook 한줄평 (3건),,2025,4,9.8,60.0,2.0,83.0,3.0,148.0
891,82589741,도서,백년운동,정선근 저,아티잔,2019년 11월,10,17550,19500.0,970,40524,리뷰 총점9.7 정보 더 보기/감추기 종이책 리뷰 (120건) eBook 리뷰 (0건) 종이책 한줄평 (233건) eBook 한줄평 (0건),,2019,11,9.7,120.0,0.0,233.0,0.0,353.0
892,72172926,도서,가만히 들어주었어,코리 도어펠드 글그림/신혜은 역,북뱅크,2019년 05월,10,12600,14000.0,700,11310,리뷰 총점10.0 정보 더 보기/감추기 종이책 리뷰 (32건) eBook 리뷰 (0건) 종이책 한줄평 (22건) eBook 한줄평 (0건),,2019,5,10.0,32.0,0.0,22.0,0.0,54.0
893,69734156,도서,시간의 계단 2,주영하 저,블라썸,2019년 02월,10,14220,15800.0,790,1920,리뷰 총점9.4 정보 더 보기/감추기 종이책 리뷰 (10건) eBook 리뷰 (0건) 종이책 한줄평 (22건) eBook 한줄평 (0건),,2019,2,9.4,10.0,0.0,22.0,0.0,32.0
894,67505388,도서,해커스톡 여행영어 10분의 기적,해커스 어학연구소 저,해커스어학연구소,2023년 03월,10,8820,9800.0,490,51219,리뷰 총점9.5 정보 더 보기/감추기 종이책 리뷰 (146건) eBook 리뷰 (12건) 종이책 한줄평 (109건) eBook 한줄평 (12건),,2023,3,9.5,146.0,12.0,109.0,12.0,279.0
895,61779464,도서,죽고 싶지만 떡볶이는 먹고 싶어,백세희 저/댄싱스네일 그림,흔,2018년 06월,10,12420,13800.0,690,20247,리뷰 총점7.9 정보 더 보기/감추기 종이책 리뷰 (218건) eBook 리뷰 (27건) 종이책 한줄평 (379건) eBook 한줄평 (121건),,2018,6,7.9,218.0,27.0,379.0,121.0,745.0
896,60716135,도서,아이스크림 걸음!,박종진 글/송선옥 그림,소원나무,2018년 05월,10,13500,15000.0,750,3633,리뷰 총점10.0 정보 더 보기/감추기 종이책 리뷰 (21건) eBook 리뷰 (0건) 종이책 한줄평 (8건) eBook 한줄평 (2건),,2018,5,10.0,21.0,0.0,8.0,2.0,31.0
897,48552043,도서,통일한국 제1고등학교,전성희 저,자음과모음,2017년 09월,10,13500,15000.0,750,11217,리뷰 총점9.2 정보 더 보기/감추기 종이책 리뷰 (13건) eBook 리뷰 (1건) 종이책 한줄평 (11건) eBook 한줄평 (1건),,2017,9,9.2,13.0,1.0,11.0,1.0,26.0
898,46659527,도서,말 그릇,김윤나 저,오아시스,2017년 09월,10,17100,19000.0,950,16959,리뷰 총점9.3 정보 더 보기/감추기 종이책 리뷰 (162건) eBook 리뷰 (82건) 종이책 한줄평 (346건) eBook 한줄평 (132건),,2017,9,9.3,162.0,82.0,346.0,132.0,722.0
899,45353675,도서,용의자 X의 헌신,히가시노 게이고 저/양억관 역,재인,2017년 08월,10,16920,18800.0,940,47319,리뷰 총점9.5 정보 더 보기/감추기 종이책 리뷰 (140건) eBook 리뷰 (0건) 종이책 한줄평 (266건) eBook 한줄평 (0건),,2017,8,9.5,140.0,0.0,266.0,0.0,406.0
900,36452643,도서,고구마구마,사이다 글그림,반달(킨더랜드),2017년 02월,10,11700,13000.0,650,18636,리뷰 총점9.7 정보 더 보기/감추기 종이책 리뷰 (53건) eBook 리뷰 (0건) 종이책 한줄평 (62건) eBook 한줄평 (0건),,2017,2,9.7,53.0,0.0,62.0,0.0,115.0
901,32484721,도서,철학통조림 : 매콤한 맛,김용규 저/이우일 그림,주니어김영사,2016년 09월,10,12150,13500.0,670,9726,리뷰 총점9.4 정보 더 보기/감추기 종이책 리뷰 (13건) eBook 리뷰 (0건) 종이책 한줄평 (22건) eBook 한줄평 (0건),,2016,9,9.4,13.0,0.0,22.0,0.0,35.0
902,18360997,도서,멋진 신세계,올더스 헉슬리 저/안정효 역,소담출판사,2015년 06월,10,12420,13800.0,690,45033,리뷰 총점9.2 정보 더 보기/감추기 종이책 리뷰 (280건) eBook 리뷰 (29건) 종이책 한줄평 (260건) eBook 한줄평 (80건),,2015,6,9.2,280.0,29.0,260.0,80.0,649.0
903,15282267,도서,10대를 위한 JUSTICE 정의란 무엇인가,마이클 샌델 원저/신현주 글/조혜진 그림/김선욱 감수,미래엔아이세움,2014년 11월,10,13500,15000.0,750,39945,리뷰 총점9.5 정보 더 보기/감추기 종이책 리뷰 (102건) eBook 리뷰 (0건) 종이책 한줄평 (161건) eBook 한줄평 (0건),,2014,11,9.5,102.0,0.0,161.0,0.0,263.0
904,13898460,도서,수박씨를 삼켰어!,그렉 피졸리 글그림/김경연 역,토토북,2014년 07월,10,12600,14000.0,700,8010,리뷰 총점9.8 정보 더 보기/감추기 종이책 리뷰 (35건) eBook 리뷰 (0건) 종이책 한줄평 (24건) eBook 한줄평 (0건),,2014,7,9.8,35.0,0.0,24.0,0.0,59.0
905,11301835,도서,팀 켈러의 일과 영성,팀 켈러 (티머시 켈러) 저/최종훈 역,두란노,2013년 11월,10,16200,18000.0,900,20316,리뷰 총점9.4 정보 더 보기/감추기 종이책 리뷰 (47건) eBook 리뷰 (0건) 종이책 한줄평 (82건) eBook 한줄평 (0건),,2013,11,9.4,47.0,0.0,82.0,0.0,129.0
906,8760138,도서,천년의 사랑,양귀자 저,쓰다,2013년 04월,10,13500,15000.0,750,21699,리뷰 총점9.3 정보 더 보기/감추기 종이책 리뷰 (22건) eBook 리뷰 (0건) 종이책 한줄평 (40건) eBook 한줄평 (0건),,2013,4,9.3,22.0,0.0,40.0,0.0,62.0
907,5883832,도서,서찰을 전하는 아이,한윤섭 글/백대승 그림,푸른숲주니어,2011년 10월,10,10800,12000.0,600,25611,리뷰 총점9.6 정보 더 보기/감추기 종이책 리뷰 (66건) eBook 리뷰 (0건) 종이책 한줄평 (95건) eBook 한줄평 (0건),,2011,10,9.6,66.0,0.0,95.0,0.0,161.0
908,4293743,도서,지하 100층짜리 집,이와이 도시오 저/김숙 역,북뱅크,2010년 11월,10,8550,9500.0,480,20160,리뷰 총점9.6 정보 더 보기/감추기 종이책 리뷰 (121건) eBook 리뷰 (0건) 종이책 한줄평 (120건) eBook 한줄평 (0건),,2010,11,9.6,121.0,0.0,120.0,0.0,241.0
909,4263762,도서,"봉주르, 뚜르",한윤섭 글/김진화 그림,문학동네,2010년 10월,10,12150,13500.0,670,22080,리뷰 총점9.7 정보 더 보기/감추기 종이책 리뷰 (62건) eBook 리뷰 (0건) 종이책 한줄평 (56건) eBook 한줄평 (10건),,2010,10,9.7,62.0,0.0,56.0,10.0,128.0
910,3647046,도서,그리스인 조르바,니코스 카잔차키스 저/이윤기 역,열린책들,2009년 12월,10,13320,14800.0,740,18996,리뷰 총점9.2 정보 더 보기/감추기 종이책 리뷰 (250건) eBook 리뷰 (4건) 종이책 한줄평 (164건) eBook 한줄평 (32건),,2009,12,9.2,250.0,4.0,164.0,32.0,450.0
911,2871076,도서,엄마랑 뽀뽀,김동수 글그림,보림,2008년 03월,10,11700,13000.0,650,15447,리뷰 총점9.5 정보 더 보기/감추기 종이책 리뷰 (96건) eBook 리뷰 (0건) 종이책 한줄평 (107건) eBook 한줄평 (0건),,2008,3,9.5,96.0,0.0,107.0,0.0,203.0
912,2532080,도서,두드려 보아요,안나 클라라 티돌름 글그림,사계절,2007년 04월,10,9000,10000.0,500,25128,리뷰 총점9.7 정보 더 보기/감추기 종이책 리뷰 (146건) eBook 리뷰 (0건) 종이책 한줄평 (190건) eBook 한줄평 (0건),,2007,4,9.7,146.0,0.0,190.0,0.0,336.0
913,338451,도서,눈물을 마시는 새 세트,이영도 저,황금가지,2003년 02월,10,59400,66000.0,3300,45327,리뷰 총점9.5 정보 더 보기/감추기 종이책 리뷰 (46건) eBook 리뷰 (0건) 종이책 한줄평 (64건) eBook 한줄평 (0건),,2003,2,9.5,46.0,0.0,64.0,0.0,110.0
914,194399,도서,손도끼,게리 폴슨 저,사계절,2001년 03월,10,9450,10500.0,520,13932,리뷰 총점8.9 정보 더 보기/감추기 종이책 리뷰 (39건) eBook 리뷰 (0건) 종이책 한줄평 (70건) eBook 한줄평 (0건),,2001,3,8.9,39.0,0.0,70.0,0.0,109.0
915,172368,도서,고도를 기다리며,사무엘 베케트 저,민음사,2000년 11월,10,8100,9000.0,450,31113,리뷰 총점9.0 정보 더 보기/감추기 종이책 리뷰 (190건) eBook 리뷰 (32건) 종이책 한줄평 (158건) eBook 한줄평 (60건),,2000,11,9.0,190.0,32.0,158.0,60.0,440.0
916,192284677,도서,긴키 지방의 어느 장소에 대하여 두 번째 기록,세스지 저/전선영 역,반타,2026년 06월,10,14220,15800.0,790,2010,,,2026,6,,0.0,0.0,0.0,0.0,0.0
